song,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,song_label,clusters_kmeans
Olsen Olsen,Sigur Ros,0.19,0.482,-11.912,0.0469,0.33,0.798,0.0926,0.228,134.418,0S9w3jx4cO9rSBcGwB16in,482947,R,6
Come Back To Me,Janet Jackson,0.428,0.409,-12.346,0.0271,0.626,0.00961,0.138,0.0611,77.906,0NSSqYISjnav81CEn6EgBY,332742,R,1
Them Eyes,The Black Keys,0.483,0.687,-6.919,0.125,0.0073,0.00101,0.0784,0.778,131.825,7LwWyEoEJllOqvlY85vyeh,143053,R,7
Make Up Your Mind,Theory Of A Deadman,0.414,0.742,-5.762,0.0369,0.00103,0.0,0.661,0.223,152.952,1NkTf6Nt4md0ZJR2jt9UZB,242160,R,2
Hello,Lionel Richie,0.487,0.246,-14.104,0.0376,0.414,0.0,0.0983,0.0562,61.084,0mHyWYXmmCB9iQyK18m3FQ,251107,R,1
Jimmy Kane,Muse,0.535,0.76,-6.546,0.0379,0.0113,0.0112,0.166,0.669,106.114,44oVrpmP9afF8i52WCiG2x,207517,R,8
The Wicker Man,Iron Maiden,0.424,0.98,-4.33,0.154,0.000855,5.72e-06,0.129,0.296,101.502,7e33IaVp4FKTTwOEKqsqEI,275253,R,8
Willing To Wait,Rihanna,0.537,0.443,-8.407,0.107,0.0107,6.99e-05,0.166,0.281,84.597,5b41vHKBfpyEbmkJu6wtlH,277973,R,8
Do What You Want,Ok Go,0.506,0.881,-1.675,0.0625,0.000735,0.0127,0.189,0.755,135.04,0vDbPNJToCssVuKVaRXz6o,186013,R,0
Dam That River,Alice In Chains,0.427,0.913,-5.545,0.0804,0.00636,0.0,0.471,0.471,124.419,22Ntyke0ZDZy2Uuf8BEDkU,189360,R,2
Like A Stone,Audioslave,0.614,0.568,-5.477,0.0276,0.00797,0.0,0.0997,0.516,107.849,3YuaBvuZqcwN3CEAyyoaei,293960,R,8
Undisclosed Desires [Thin White Duke Remix],Muse,0.612,0.887,-4.452,0.046,0.00276,0.313,0.295,0.591,131.465,3BlVx7C2zdlxta4bZjZxbn,464400,R,6
You Are Not Alone,Michael Jackson,0.651,0.402,-9.303,0.028,0.639,7.73e-05,0.0765,0.258,119.873,3AoeaZs8dFemFJr3JdzOL0,345600,R,1
