song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
You Are Not Alone,Michael Jackson,0.651,0.402,11,-9.303,1,0.028,0.639,7.73e-05,0.0765,0.258,119.873,audio_features,3AoeaZs8dFemFJr3JdzOL0,spotify:track:3AoeaZs8dFemFJr3JdzOL0,https://api.spotify.com/v1/tracks/3AoeaZs8dFemFJr3JdzOL0,https://api.spotify.com/v1/audio-analysis/3AoeaZs8dFemFJr3JdzOL0,345600,4
Quutamo,Apocalyptica,0.496,0.939,9,-7.184,0,0.125,0.00229,0.844,0.199,0.262,109.153,audio_features,6YPeAuIL4TQKNgfwDPEAOD,spotify:track:6YPeAuIL4TQKNgfwDPEAOD,https://api.spotify.com/v1/tracks/6YPeAuIL4TQKNgfwDPEAOD,https://api.spotify.com/v1/audio-analysis/6YPeAuIL4TQKNgfwDPEAOD,208120,4
Love,Keyshia Cole,0.688,0.519,5,-4.285,1,0.0283,0.064,0,0.1,0.318,116.714,audio_features,0W4NhJhcqKCqEP2GIpDCDq,spotify:track:0W4NhJhcqKCqEP2GIpDCDq,https://api.spotify.com/v1/tracks/0W4NhJhcqKCqEP2GIpDCDq,https://api.spotify.com/v1/audio-analysis/0W4NhJhcqKCqEP2GIpDCDq,255333,4
Second Heartbeat,Avenged Sevenfold,0.294,0.986,0,-4.947,0,0.096,1.21e-05,0.543,0.118,0.316,184.987,audio_features,3hmX5dfwY9oRIpJKvt755u,spotify:track:3hmX5dfwY9oRIpJKvt755u,https://api.spotify.com/v1/tracks/3hmX5dfwY9oRIpJKvt755u,https://api.spotify.com/v1/audio-analysis/3hmX5dfwY9oRIpJKvt755u,420333,4
One Night In Bangkok,Murray Head,0.892,0.578,10,-5.025,1,0.15,0.112,0.000315,0.0897,0.621,108.703,audio_features,6erBowZaW6Ur3vNOWhS2zM,spotify:track:6erBowZaW6Ur3vNOWhS2zM,https://api.spotify.com/v1/tracks/6erBowZaW6Ur3vNOWhS2zM,https://api.spotify.com/v1/audio-analysis/6erBowZaW6Ur3vNOWhS2zM,236067,4
I Wonder,Kanye West,0.542,0.466,0,-8.665,1,0.0831,0.141,0.000445,0.125,0.124,191.385,audio_features,7rbECVPkY5UODxoOUVKZnA,spotify:track:7rbECVPkY5UODxoOUVKZnA,https://api.spotify.com/v1/tracks/7rbECVPkY5UODxoOUVKZnA,https://api.spotify.com/v1/audio-analysis/7rbECVPkY5UODxoOUVKZnA,243440,4
More Than Everything,Gareth Emery,0.698,0.795,11,-8.936,0,0.0787,7.04e-05,0.698,0.031,0.348,134.998,audio_features,3mgdXpOyTxtQBDWEkwYecR,spotify:track:3mgdXpOyTxtQBDWEkwYecR,https://api.spotify.com/v1/tracks/3mgdXpOyTxtQBDWEkwYecR,https://api.spotify.com/v1/audio-analysis/3mgdXpOyTxtQBDWEkwYecR,479600,4
Voodoo Fire,Cathedral,0.285,0.922,0,-6.076,1,0.173,0.00389,0.0161,0.423,0.305,81.271,audio_features,3NX0y58yLQRTXKKN7RVQtN,spotify:track:3NX0y58yLQRTXKKN7RVQtN,https://api.spotify.com/v1/tracks/3NX0y58yLQRTXKKN7RVQtN,https://api.spotify.com/v1/audio-analysis/3NX0y58yLQRTXKKN7RVQtN,371840,3
Never As Good As The First Time,Sade,0.691,0.819,6,-7.627,0,0.0351,0.238,0.0049,0.0565,0.839,107.761,audio_features,1OefsOF4JwGjOeLiWuUKTI,spotify:track:1OefsOF4JwGjOeLiWuUKTI,https://api.spotify.com/v1/tracks/1OefsOF4JwGjOeLiWuUKTI,https://api.spotify.com/v1/audio-analysis/1OefsOF4JwGjOeLiWuUKTI,237560,4
Dust N\' Bones,Guns N\' Roses,0.445,0.922,8,-6.665,1,0.0443,0.0189,0.00244,0.181,0.449,129.502,audio_features,4vtXsXvSYaTfKQ0dJXbJGu,spotify:track:4vtXsXvSYaTfKQ0dJXbJGu,https://api.spotify.com/v1/tracks/4vtXsXvSYaTfKQ0dJXbJGu,https://api.spotify.com/v1/audio-analysis/4vtXsXvSYaTfKQ0dJXbJGu,298160,4
The Beat Goes On,Britney Spears,0.772,0.548,10,-9.352,1,0.164,0.097,0.221,0.103,0.648,154.871,audio_features,4l3zi35EzEv8L7xLZ9jEcJ,spotify:track:4l3zi35EzEv8L7xLZ9jEcJ,https://api.spotify.com/v1/tracks/4l3zi35EzEv8L7xLZ9jEcJ,https://api.spotify.com/v1/audio-analysis/4l3zi35EzEv8L7xLZ9jEcJ,223200,4
