song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Get Into It (Yuh),Doja Cat,0.912,0.655,8,-6.029,0,0.162,0.315,3.39e-05,0.0894,0.793,91.942,audio_features,0W6I02J9xcqK8MtSeosEXb,spotify:track:0W6I02J9xcqK8MtSeosEXb,https://api.spotify.com/v1/tracks/0W6I02J9xcqK8MtSeosEXb,https://api.spotify.com/v1/audio-analysis/0W6I02J9xcqK8MtSeosEXb,138293,4
Betty (Get Money),Yung Gravy,0.723,0.772,1,-6.784,1,0.0792,0.00524,1.15e-05,0.367,0.58,102.004,audio_features,4cacyP5c3PMlfnyjpg13xW,spotify:track:4cacyP5c3PMlfnyjpg13xW,https://api.spotify.com/v1/tracks/4cacyP5c3PMlfnyjpg13xW,https://api.spotify.com/v1/audio-analysis/4cacyP5c3PMlfnyjpg13xW,146471,4
Son Of A Sinner,Jelly Roll,0.365,0.541,7,-7.489,1,0.0304,0.0419,2.25e-06,0.281,0.329,86.041,audio_features,25VQoiuyc0HkC5FQTj1a8G,spotify:track:25VQoiuyc0HkC5FQTj1a8G,https://api.spotify.com/v1/tracks/25VQoiuyc0HkC5FQTj1a8G,https://api.spotify.com/v1/audio-analysis/25VQoiuyc0HkC5FQTj1a8G,232093,4
Never Get Over Me,Rod Wave,0.689,0.626,4,-10.224,1,0.065,0.21,0,0.109,0.453,157.954,audio_features,5sRUXYW5XqkHpGUjNIaU1W,spotify:track:5sRUXYW5XqkHpGUjNIaU1W,https://api.spotify.com/v1/tracks/5sRUXYW5XqkHpGUjNIaU1W,https://api.spotify.com/v1/audio-analysis/5sRUXYW5XqkHpGUjNIaU1W,170127,4
Super Gremlin,Kodak Black,0.825,0.414,2,-6.634,1,0.144,0.00265,0,0.357,0.106,72.993,audio_features,4A8cWXxKfIL3lAyUDzXbCF,spotify:track:4A8cWXxKfIL3lAyUDzXbCF,https://api.spotify.com/v1/tracks/4A8cWXxKfIL3lAyUDzXbCF,https://api.spotify.com/v1/audio-analysis/4A8cWXxKfIL3lAyUDzXbCF,200548,4
Sweet Little Lies,Rod Wave,0.656,0.679,10,-8.594,1,0.0598,0.014,0,0.101,0.27,159.978,audio_features,0qjoeS8gwEFqf0ju66ledI,spotify:track:0qjoeS8gwEFqf0ju66ledI,https://api.spotify.com/v1/tracks/0qjoeS8gwEFqf0ju66ledI,https://api.spotify.com/v1/audio-analysis/0qjoeS8gwEFqf0ju66ledI,174750,4
Take My Name,Parmalee,0.559,0.66,7,-4.143,1,0.0512,0.222,0,0.193,0.574,163.957,audio_features,2afB4eV1KWBqLqFqME6PTh,spotify:track:2afB4eV1KWBqLqFqME6PTh,https://api.spotify.com/v1/tracks/2afB4eV1KWBqLqFqME6PTh,https://api.spotify.com/v1/audio-analysis/2afB4eV1KWBqLqFqME6PTh,157907,4
Hot Shit,"Cardi B, Ye & Lil Durk",0.878,0.685,9,-5.28,1,0.225,0.00152,0,0.0753,0.523,157.003,audio_features,3uJFmluXzYedoJcvhpC1AW,spotify:track:3uJFmluXzYedoJcvhpC1AW,https://api.spotify.com/v1/tracks/3uJFmluXzYedoJcvhpC1AW,https://api.spotify.com/v1/audio-analysis/3uJFmluXzYedoJcvhpC1AW,211649,4
Damn Strait,Scotty McCreery,0.523,0.64,4,-6.15,1,0.0295,0.0512,5.52e-05,0.0675,0.48,144.022,audio_features,4jp9FimhP2bQ93vR0A5r7b,spotify:track:4jp9FimhP2bQ93vR0A5r7b,https://api.spotify.com/v1/tracks/4jp9FimhP2bQ93vR0A5r7b,https://api.spotify.com/v1/audio-analysis/4jp9FimhP2bQ93vR0A5r7b,230227,4
Bad Decisions,"benny blanco, BTS & Snoop Dogg",0.762,0.861,0,-3.296,1,0.0955,0.0185,0,0.264,0.955,120.048,audio_features,0xzI1KAr0Yd9tv8jlIk3sn,spotify:track:0xzI1KAr0Yd9tv8jlIk3sn,https://api.spotify.com/v1/tracks/0xzI1KAr0Yd9tv8jlIk3sn,https://api.spotify.com/v1/audio-analysis/0xzI1KAr0Yd9tv8jlIk3sn,172714,4
Forever,Rod Wave,0.626,0.524,3,-8.987,1,0.0411,0.566,1.14e-05,0.103,0.451,129.996,audio_features,4mChXwwU4xbiYIP7QQeLFP,spotify:track:4mChXwwU4xbiYIP7QQeLFP,https://api.spotify.com/v1/tracks/4mChXwwU4xbiYIP7QQeLFP,https://api.spotify.com/v1/audio-analysis/4mChXwwU4xbiYIP7QQeLFP,214186,4
Bones,Imagine Dragons,0.773,0.742,5,-3.678,0,0.046,0.0206,0,0.0754,0.571,114.071,audio_features,0HqZX76SFLDz2aW8aiqi7G,spotify:track:0HqZX76SFLDz2aW8aiqi7G,https://api.spotify.com/v1/tracks/0HqZX76SFLDz2aW8aiqi7G,https://api.spotify.com/v1/audio-analysis/0HqZX76SFLDz2aW8aiqi7G,165265,4
So Good,Halsey,0.576,0.627,3,-4.649,0,0.0449,0.0385,0,0.181,0.311,164.998,audio_features,6kxaaIeowajN7w21PfMLbu,spotify:track:6kxaaIeowajN7w21PfMLbu,https://api.spotify.com/v1/tracks/6kxaaIeowajN7w21PfMLbu,https://api.spotify.com/v1/audio-analysis/6kxaaIeowajN7w21PfMLbu,176059,4
Her,Megan Thee Stallion,0.945,0.848,1,-4.76,1,0.326,0.374,3.31e-05,0.101,0.819,119.918,audio_features,5hHvFrMnwic82WwRLr4WY0,spotify:track:5hHvFrMnwic82WwRLr4WY0,https://api.spotify.com/v1/tracks/5hHvFrMnwic82WwRLr4WY0,https://api.spotify.com/v1/audio-analysis/5hHvFrMnwic82WwRLr4WY0,137107,4
Victoria’s Secret,Jax,0.586,0.556,6,-7.639,1,0.0592,0.00655,0,0.0836,0.517,167.018,audio_features,4svaKoxMMP7ImmKrD5hfQu,spotify:track:4svaKoxMMP7ImmKrD5hfQu,https://api.spotify.com/v1/tracks/4svaKoxMMP7ImmKrD5hfQu,https://api.spotify.com/v1/audio-analysis/4svaKoxMMP7ImmKrD5hfQu,176125,4
Despues de La Playa,Bad Bunny,0.564,0.903,5,-3.221,1,0.307,0.356,0,0.175,0.607,78.293,audio_features,1dm6z1fWB0cErMszU25dy2,spotify:track:1dm6z1fWB0cErMszU25dy2,https://api.spotify.com/v1/tracks/1dm6z1fWB0cErMszU25dy2,https://api.spotify.com/v1/audio-analysis/1dm6z1fWB0cErMszU25dy2,230400,4
Stone Rolling,Rod Wave,0.622,0.533,2,-11.149,1,0.0452,0.0579,0,0.152,0.363,170.04,audio_features,6V74LEfuOKN9iz7YinOWpB,spotify:track:6V74LEfuOKN9iz7YinOWpB,https://api.spotify.com/v1/tracks/6V74LEfuOKN9iz7YinOWpB,https://api.spotify.com/v1/audio-analysis/6V74LEfuOKN9iz7YinOWpB,180706,4
Alien Superstar,Beyonce,0.545,0.641,10,-6.398,0,0.0998,0.00453,6.59e-05,0.171,0.464,121.892,audio_features,1Hohk6AufHZOrrhMXZppax,spotify:track:1Hohk6AufHZOrrhMXZppax,https://api.spotify.com/v1/tracks/1Hohk6AufHZOrrhMXZppax,https://api.spotify.com/v1/audio-analysis/1Hohk6AufHZOrrhMXZppax,215460,4
Unstoppable,Sia,0.468,0.779,9,-4.839,1,0.0779,0.112,0.000373,0.101,0.26,173.799,audio_features,1yvMUkIOTeUNtNWlWRgANS,spotify:track:1yvMUkIOTeUNtNWlWRgANS,https://api.spotify.com/v1/tracks/1yvMUkIOTeUNtNWlWRgANS,https://api.spotify.com/v1/audio-analysis/1yvMUkIOTeUNtNWlWRgANS,217747,4
Free Mind,Tems,0.562,0.463,6,-7.478,1,0.0787,0.442,0.000145,0.157,0.416,125.15,audio_features,2mzM4Y0Rnx2BDZqRnhQ5Q6,spotify:track:2mzM4Y0Rnx2BDZqRnhQ5Q6,https://api.spotify.com/v1/tracks/2mzM4Y0Rnx2BDZqRnhQ5Q6,https://api.spotify.com/v1/audio-analysis/2mzM4Y0Rnx2BDZqRnhQ5Q6,247579,5
Wishful Drinking,Ingrid Andress With Sam Hunt,0.678,0.528,10,-7.317,1,0.0551,0.289,0,0.0734,0.614,79.018,audio_features,3HGnIIdHYIbkowzLk8UHbE,spotify:track:3HGnIIdHYIbkowzLk8UHbE,https://api.spotify.com/v1/tracks/3HGnIIdHYIbkowzLk8UHbE,https://api.spotify.com/v1/audio-analysis/3HGnIIdHYIbkowzLk8UHbE,194545,4
